"Source","Illicit Marketplaces","Darknet Forums & Directories","Financial Fraud & Money Laundering","Hacking & Malware","Illicit Drug Trade","Firearms Trafficking","Child Sexual Exploitation","Anonymity & OPSEC Guidance","Illicit Hosting Infrastructure","Digital Archiving & Preservation","Law & Political Reporting"
"Illicit Marketplaces",0.421282,0.007090,0.316298,0.070329,0.033542,0.005932,0.014317,0.054691,0.063032,0.004586,0.008901
"Darknet Forums & Directories",0.004450,0.688300,0.003818,0.002166,0.001801,0.000172,0.048161,0.010362,0.005791,0.228696,0.006282
"Financial Fraud & Money Laundering",0.107680,0.001059,0.816264,0.028649,0.003680,0.000487,0.003303,0.016956,0.017281,0.001783,0.002858
"Hacking & Malware",0.075074,0.003532,0.148402,0.532342,0.007796,0.002402,0.020628,0.071260,0.095844,0.006358,0.036362
"Illicit Drug Trade",0.079896,0.005492,0.031597,0.011676,0.761483,0.004668,0.034589,0.027328,0.022753,0.012008,0.008511
"Firearms Trafficking",0.042859,0.005227,0.015811,0.020253,0.057363,0.791324,0.001960,0.020645,0.018685,0.006011,0.019861
"Child Sexual Exploitation",0.003201,0.000168,0.001350,0.000626,0.000155,0.000003,0.992259,0.001030,0.000999,0.000029,0.000181
"Anonymity & OPSEC Guidance",0.064911,0.016902,0.091955,0.102474,0.020834,0.003946,0.014842,0.448959,0.152245,0.032412,0.050519
"Illicit Hosting Infrastructure",0.065911,0.008008,0.169267,0.086191,0.021609,0.005439,0.026697,0.129873,0.404428,0.043079,0.039499
"Digital Archiving & Preservation",0.000245,0.000502,0.000172,0.000414,0.000060,0.000012,0.000115,0.163943,0.004253,0.829344,0.000940
"Law & Political Reporting",0.008903,0.005051,0.005051,0.044296,0.005270,0.002268,0.004870,0.083979,0.055801,0.271043,0.513470
