category,vector_count,pair_count,0.00–0.05,0.05–0.10,0.10–0.15,0.15–0.20,0.20–0.25,0.25–0.30,0.30–0.35,0.35–0.40,0.40–0.45,0.45–0.50,0.50–0.55,0.55–0.60,0.60–0.65,0.65–0.70,0.70–0.75,0.75–0.80,0.80–0.85,0.85–0.90,0.90–0.95,0.95–1.00
Illicit Marketplaces,28370,402414265,170654,473041,6371504,29529128,53808882,69061230,68006987,30313025,31223589,27479256,20265674,25859607,8516488,4777470,1771065,450658,506538,393700,73045,22099808
Darknet Forums & Directories,42867,918768411,203903,322088,602866,1679608,5756176,134524552,272205081,17431402,26421002,16444839,4576174,25239087,9106748,17127147,16401888,17593287,6831721,1839716,2829122,310132787
Financial Fraud & Money Laundering,45473,1033874128,1062012,367296,149726,861024,5450504,19987658,51123726,105458660,170508834,187918585,163093572,130309465,94859411,51203236,22055230,9606991,7225437,5408491,2915630,3811930
Hacking & Malware,10560,55751520,7880998,1963088,573084,1689670,3335730,4654859,5166501,5294206,4910658,4067994,3296804,2860093,2433855,1762467,1048205,503665,147838,37737,28558,53633
Illicit Drug Trade,7029,24699906,27409,19386,49495,154835,388491,773269,1208349,1581637,1916820,2295009,2853314,3294618,3318576,3047206,2000440,902772,238087,147539,286419,181422
Firearms Trafficking,1297,840456,10471,2887,8411,18931,31485,48321,61881,74319,79295,94819,111805,106696,77529,52303,29311,13305,3066,2162,1434,2387
Child Sexual Exploitation,43469,944755246,2823112,1030002,63756,197177,854348,1962831,4155888,9821903,16454968,54337604,50467518,41994380,60999220,159279328,15987097,18218090,38629109,117881829,297528176,51440421
Anonymity & OPSEC Guidance,18112,164013216,22919,223712,1308742,4762378,11362873,19735782,26231009,28046090,25505776,19693660,12766670,6917646,3430422,1812204,1022579,599633,267792,119537,74375,103680
Illicit Hosting Infrastructure,26248,344465628,22507750,4980084,1791128,7096030,19730320,41687800,52010462,56283817,34426342,20587711,14949925,10284035,6714933,4615405,3016131,1621704,1035134,951968,566984,18867457
Digital Archiving & Preservation,57772,1668773106,909482,1151745,234160,127235,508949,1312528,3686244,5470710,8199055,13152354,18184765,19946278,38021648,25254206,77008949,1130006,4623717,155163190,81759073,1188092969
Law & Political Reporting,17711,156830905,8041882,861339,566409,1701245,4168327,8349720,13222295,15302414,15139896,11515654,8430676,7275393,6396667,6180887,5400052,3977189,3148564,2054947,14348487,13901769
